時間戳記,照做，留言,留奇怪的言（比如圓周率、蛋糕作法...）,不留言，直接忽略,隱藏此類貼文或檢舉文章,不留言，把內文複製後用google搜尋答案,其它（簡答）,複選題~,你「去文章底下留言」這件事不會被朋友看見,朋友知道你去文章底下留言，但不會知道是「什麼樣的文章」,你身邊的朋友（3人以上）都在這篇文章底下留言,,每日平均在社群網站上（臉書、IG等...）花費的時間,在任何文章底下留言的頻率（不計入在不公開社團的留言，比如課業版）,承上題，通常你留言的類型是,您的性別,您的血型,您的年紀,您的星座,平日的嗜好/興趣 （複選）
2018/12/16 下午 1:07:44,3,1,4,1,2,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,4,3,"滿意、不滿意參半, 日後留言意願提高",中等（20分鐘~1小時）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,天秤座,"聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 下午 1:09:03,2,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",4,3,3,"通常不滿意, 日後留言意願不變",中等（20分鐘~1小時）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,20~24,獅子座,"球類運動, 外出旅遊, 享受美食"
2018/12/16 下午 1:12:16,3,1,4,1,2,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",4,3,4,"通常不滿意, 日後留言意願下降",較長（1小時~2小時）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,AB型,20~24,獅子座,"聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 看戲"
2018/12/16 下午 1:12:27,1,1,5,1,1,,沒有,3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每2~3天一則,表達自己的意見/看法,女性,B型,15~19,巨蟹座,"球類運動, 聽音樂, 唱歌, 享受美食, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 下午 1:15:53,3,1,5,3,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,3,"滿意、不滿意參半, 日後留言意願不變",長（2小時以上）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,B型,20~24,雙魚座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 繪畫, 美工設計"
2018/12/16 下午 1:15:54,2,2,4,4,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,5,"通常滿意, 日後留言意願提高",中等（20分鐘~1小時）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,AB型,20~24,天蠍座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 下午 1:16:31,2,1,4,1,5,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",4,3,4,滿意、不滿意參半,較長（1小時~2小時）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,O型,20~24,處女座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 享受美食, 寫程式"
2018/12/16 下午 1:17:52,1,1,5,1,1,,無,3,3,4,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每2~3天一則,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,O型,15~19,牡羊座,"球類運動, 游泳, 聽音樂, 唱歌, 享受美食"
2018/12/16 下午 1:23:37,4,1,4,4,4,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",5,4,5,"通常不滿意, 日後留言意願下降",長（2小時以上）,約每週一則,Tag朋友，讓他們看到這篇文章,女性,B型,15~19,獅子座,"聽音樂, 唱歌, 看電視劇、電影, 繪畫"
2018/12/16 下午 1:36:11,2,1,4,2,4,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,滿意、不滿意參半,長（2小時以上）,每天一則以上,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,金牛座,"聽音樂, 唱歌, 繪畫"
2018/12/16 下午 1:41:14,2,4,3,3,1,留言後待粉專私訊再刪除留言,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,"滿意、不滿意參半, 日後留言意願下降",較長（1小時~2小時）,每2~3天一則,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,金牛座,"聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 閱讀科學類書刊, 攝影, 寫程式"
2018/12/16 下午 1:48:45,1,1,5,2,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,4,3,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,O型,15~19,魔羯座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 外出旅遊"
2018/12/16 下午 1:50:14,3,3,3,3,3,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",3,3,3,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,O型,20~24,處女座,"球類運動, 聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食"
2018/12/16 下午 1:54:50,1,1,5,1,3,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,15~19,水瓶座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 看電視劇、電影, 閱讀（任何書籍）, 創作文章"
2018/12/16 下午 1:56:32,3,1,3,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,5,5,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,15~19,金牛座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 看戲"
2018/12/16 下午 2:04:54,1,1,5,4,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,2,2,"通常不滿意, 日後留言意願下降",長（2小時以上）,每月一則以上，少於每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,O型,15~19,巨蟹座,"游泳, 聽音樂, 唱歌, 外出旅遊, 攝影"
2018/12/16 下午 2:05:01,1,1,5,5,1,,無,3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,約每週一則,表達自己的意見/看法,男性,O型,25~29,牡羊座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 閱讀科學類書刊"
2018/12/16 下午 2:18:35,3,1,4,2,4,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,3,5,"滿意、不滿意參半, 日後留言意願下降",較長（1小時~2小時）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,A型,20~24,處女座,"聽音樂, 看電視劇、電影, 外出旅遊, 享受美食, 繪畫, 美工設計"
2018/12/16 下午 2:20:22,2,1,4,1,1,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",3,3,3,滿意、不滿意參半,中等（20分鐘~1小時）,每月一則以上，少於每週一則,表達自己的意見/看法,男性,O型,15~19,金牛座,球類運動
2018/12/16 下午 2:33:52,2,1,4,1,3,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,3,4,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,AB型,20~24,天秤座,閱讀小說
2018/12/16 下午 2:52:32,3,1,3,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",2,3,3,通常滿意,長（2小時以上）,約每週一則,表達自己的意見/看法,男性,AB型,20~24,獅子座,"田徑運動（如慢跑）, 聽音樂, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 下午 2:57:36,2,1,2,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,2,2,3,日後留言意願不變,較長（1小時~2小時）,每月一則以上，少於每週一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,天蠍座,"聽音樂, 看電視劇、電影, 閱讀小說, 繪畫, 創作文章"
2018/12/16 下午 3:00:45,3,1,3,2,1,有興趣的會留？或。  然後點開小編給的答案以後發現 幹 怎麼可以這麼爛,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",4,4,4,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,處女座,"游泳, 聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 享受美食, 閱讀小說, 閱讀科學類書刊, 繪畫, 看戲, 美工設計"
2018/12/16 下午 3:13:59,2,1,4,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,4,3,"滿意、不滿意參半, 日後留言意願不變",中等（20分鐘~1小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,B型,15~19,牡羊座,"聽音樂, 閱讀小說"
2018/12/16 下午 3:42:33,1,1,5,1,1,覺得只是噱頭或廣告手法 不會想知道內容,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,1,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每月一則以上，少於每週一則,只會回朋友的動態/近況,女性,O型,25~29,天秤座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 下午 3:50:12,2,1,4,1,1,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,4,5,"滿意、不滿意參半, 日後留言意願下降",中等（20分鐘~1小時）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,15~19,金牛座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）, 繪畫, 創作文章"
2018/12/16 下午 3:53:55,1,1,5,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,B型,15~19,魔羯座,"球類運動, 唱歌"
2018/12/16 下午 4:00:01,2,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",5,3,3,滿意、不滿意參半,長（2小時以上）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,AB型,20~24,天蠍座,"田徑運動（如慢跑）, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 看電視劇、電影, 享受美食"
2018/12/16 下午 4:31:02,2,2,4,1,1,,心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）,5,5,4,滿意、不滿意參半,中等（20分鐘~1小時）,每天一則以上,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,天秤座,"球類運動, 聽音樂"
2018/12/16 下午 4:49:11,1,1,5,3,1,,美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）,3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每2~3天一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章",女性,O型,20~24,牡羊座,"聽音樂, 看電視劇、電影, 外出旅遊, 享受美食"
2018/12/16 下午 5:16:58,4,2,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,4,滿意、不滿意參半,長（2小時以上）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,金牛座,"球類運動, 聽音樂, 唱歌, 看電視劇、電影, 外出旅遊"
2018/12/16 下午 5:39:16,1,1,5,2,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,3,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,每天一則以上,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,20~24,巨蟹座,"球類運動, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 享受美食"
2018/12/16 下午 6:04:20,1,1,5,1,1,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,少（少於20分鐘）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,20~24,天秤座,"看電視劇、電影, 享受美食, 閱讀（任何書籍）, 創作文章"
2018/12/16 下午 6:12:52,1,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,4,3,"滿意、不滿意參半, 日後留言意願下降",長（2小時以上）,每天一則以上,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,25~29,射手座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊"
2018/12/16 下午 6:15:21,1,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,2,2,"通常滿意, 日後留言意願不變",長（2小時以上）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,20~24,雙魚座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 享受美食"
2018/12/16 下午 6:40:32,2,1,4,4,2,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,2,3,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,巨蟹座,"球類運動, 聽音樂, 看電視劇、電影, 閱讀（任何書籍）"
2018/12/16 下午 6:55:18,1,1,5,1,1,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,魔羯座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀（任何書籍）, 繪畫"
2018/12/16 下午 7:23:47,2,1,4,1,2,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,3,3,"滿意、不滿意參半, 日後留言意願下降",較長（1小時~2小時）,每2~3天一則,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,25~29,天秤座,"舞蹈（民舞、國標舞...etc.）, 唱歌, 看電視劇、電影, 外出旅遊, 閱讀小說, 創作文章"
2018/12/16 下午 7:39:58,2,1,4,3,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",5,3,4,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,20~24,天秤座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 看電視劇、電影, 外出旅遊, 享受美食, 攝影"
2018/12/16 下午 7:52:19,2,1,4,1,4,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 彈力帶使用",2,4,4,滿意、不滿意參半,較長（1小時~2小時）,每2~3天一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,20~24,天蠍座,"球類運動, 聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 攝影"
2018/12/16 下午 7:55:30,1,1,5,5,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,滿意、不滿意參半,長（2小時以上）,每2~3天一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,20~24,牡羊座,"球類運動, 聽音樂, 唱歌, 外出旅遊, 享受美食"
2018/12/16 下午 8:17:35,1,1,5,1,1,抽獎完請私訊我 ,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",5,5,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,20~24,天秤座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 看電視劇、電影, 享受美食"
2018/12/16 下午 8:30:34,1,1,5,3,2,,心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）,4,4,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,魔羯座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 看戲"
2018/12/16 下午 8:53:10,3,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",4,4,5,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,15~19,獅子座,"球類運動, 聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食"
